Ranking,Region,Average Height (inches)
1,Montana,67.74
2,Utah,67.68
3,Minnesota,67.5
4,Oregon,67.488
5,North Dakota,67.476
6,Alaska,67.476
7,Iowa,67.476
8,South Dakota,67.476
9,Colorado,67.44
10,Kansas,67.392
11,Idaho,67.356
12,Nebraska,67.344
13,Tennessee,67.308
14,Washington,67.236
15,Wisconsin,67.224
16,Illinois,67.212
17,Kentucky,67.2
18,Missouri,67.176
19,Arizona,67.176
20,Wyoming,67.128
21,Nevada,67.116
22,Ohio,67.104
23,Oklahoma,67.092
24,Virginia,67.08
25,Michigan,67.08
26,Pennsylvania,67.08
27,North Carolina,67.044
28,Indiana,67.032
29,South Carolina,66.996
30,Maryland,66.984
31,Delaware,66.96
32,Mississippi,66.948
33,Vermont,66.948
34,Connecticut,66.948
35,West Virginia,66.948
36,Louisiana,66.936
37,Alabama,66.924
38,Texas,66.924
39,Maine,66.876
40,Georgia,66.864
41,New Jersey,66.828
42,Massachusetts,66.78
43,Arkansas,66.756
44,New York,66.696
45,California,66.66
46,New Hampshire,66.624
47,Rhode Island,66.516
48,New Mexico,66.408
49,Hawaii,65.976
