Ranking,Region,Per Capita Income
1,Connecticut,84972
2,Massachusetts,84945
3,New Jersey,78700
4,New York,78089
5,California,77339
6,Washington,75698
7,New Hampshire,74663
8,Colorado,74167
9,Wyoming,71342
10,Maryland,70730
11,Alaska,68919
12,Illinois,68822
13,Virginia,68211
14,Minnesota,68010
15,North Dakota,66184
16,South Dakota,65806
17,Rhode Island,65377
18,Pennsylvania,65167
19,Florida,63597
20,Nebraska,63321
21,Vermont,63206
22,Oregon,62767
23,Texas,61985
24,Delaware,61387
25,Nevada,61282
26,Wisconsin,61210
27,Hawaii,61175
28,Kansas,60152
29,Maine,59463
30,Iowa,58905
31,Tennessee,58279
32,Indiana,57930
33,Utah,57925
34,Ohio,57880
35,Montana,57719
36,North Carolina,57416
37,Georgia,57129
38,Michigan,56813
39,Arizona,56667
40,Missouri,56551
41,Oklahoma,54998
42,Louisiana,54622
43,Idaho,54537
44,South Carolina,53320
45,Kentucky,52109
46,Arkansas,51787
47,New Mexico,51500
48,Alabama,50637
49,West Virginia,49169
50,Mississippi,46248
